"","Sample","Mouse","Treatment_des","Date","reads_pre_filt","reads_post_filt","host_percent"
"267","C13F1HT","C13F1","Heat","19/10/2020",30472184,30139050,1.45
"268","C13F1HR","C13F1","Heat_rest","25/10/2020",32142130,31608382,18.81
"269","C13F1CD","C13F1","Cold","04/11/2020",37962048,37457662,2.72
"270","C13F1CR","C13F1","Cold_rest","10/11/2020",40758842,40206146,4.68
"271","C13F1DT","C13F1","Diet","17/11/2020",54913026,52234806,0.06
"272","C13F1DR","C13F1","Diet Rest","23/11/2020",47997372,47515350,1.23
"273","C13F2OP","C13F2","Optimal","02/10/2020",38067828,36820798,25.69
"274","C13F2HT","C13F2","Heat","19/10/2020",39186796,38250040,9.41
"275","C13F2HR","C13F2","Heat_rest","25/10/2020",27537900,27015568,10.3
"276","C13F2CD","C13F2","Cold","04/11/2020",141752642,137937232,4.83
"277","C13F2CR","C13F2","Cold_rest","10/11/2020",24911670,24072654,3.55
"278","C13F2DT","C13F2","Diet","17/11/2020",16765432,16109700,4.99
"279","C13F2DR","C13F2","Diet Rest","23/11/2020",22266244,21715752,4.63
"280","C13F3OP","C13F3","Optimal","02/10/2020",58212868,57353938,6.39
"281","C13F3HT","C13F3","Heat","19/10/2020",55327798,54315976,6.24
"282","C13F3HR","C13F3","Heat_rest","25/10/2020",50774142,49746664,4.74
"283","C13F3CD","C13F3","Cold","04/11/2020",53829430,52974648,2.74
"284","C13F3CR","C13F3","Cold_rest","10/11/2020",58017668,57076308,5.18
"285","C13F3DT","C13F3","Diet","17/11/2020",45657582,44837148,10.73
"286","C13F3DR","C13F3","Diet Rest","23/11/2020",55375330,54446214,3.69
"287","C13F4OP","C13F4","Optimal","02/10/2020",24136728,23927878,1.57
"288","C13F4HT","C13F4","Heat","19/10/2020",29697132,29433812,0.63
"289","C13F4HR","C13F4","Heat_rest","25/10/2020",31667248,31327994,2.6
"290","C13F4CD","C13F4","Cold","04/11/2020",22689942,22421440,9.93
"291","C13F4CR","C13F4","Cold_rest","10/11/2020",24915918,24715824,1.66
"292","C13F4DT","C13F4","Diet","17/11/2020",39463730,39086246,0.41
"293","C13F4DR","C13F4","Diet Rest","23/11/2020",17846426,17669532,1.62
"294","C13F5OP","C13F5","Optimal","02/10/2020",35501120,35179654,4.23
"295","C13F5HT","C13F5","Heat","19/10/2020",18854366,18678046,0.81
"296","C13F5HR","C13F5","Heat_rest","25/10/2020",18836686,18643996,2.53
"297","C13F5CD","C13F5","Cold","04/11/2020",16067368,15910538,1.43
"298","C13F5CR","C13F5","Cold_rest","10/11/2020",19221660,19009338,0.37
"299","C13F5DT","C13F5","Diet","17/11/2020",17786066,17588644,0.99
"300","C13F5DR","C13F5","Diet Rest","23/11/2020",29477564,29177172,1.46
